NT_GER;NT_FG;NT_CE;NO_IES;CO_IES_enade;NO_CURSO;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;CO_CATEGAD_DESC;SG_UF_IES;NO_REGIAO_IES;TP_ORGANIZACAO_ACADEMICA_ies_mec;QE_I08_DESC;QE_I04;QE_I05;QE_I17;CO_MODALIDADE;CO_TURNO_GRADUACAO
29,8;29,5;28,9;UNIVERSIDADE NOVE DE JULHO;316;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE NOVE DE JULHO;316;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE SANTA CECÍLIA;952;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE METROPOLITANA DE SANTOS;953;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;De 1,5 a 3 s.m.;B;C;A;1;4
28,3;33,5;26,5;UNIVERSIDADE TUIUTI DO PARANÁ;355;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Até 1,5 s.m.;A;A;A;1;1
29,8;29,5;28,9;UNIVERSIDADE TUIUTI DO PARANÁ;355;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Universidade Pitágoras Unopar Anhanguera;298;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Universidade Pitágoras Unopar Anhanguera;298;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE SALGADO DE OLIVEIRA;663;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE SALGADO DE OLIVEIRA;663;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;3
16,3;41,8;7,8;Centro Universitário da Região da Campanha;296;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;RS;Sul;2.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE IGUAÇU;330;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE IGUAÇU;330;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE IGUAÇU;330;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
24,6;16,1;27,4;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;1149;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;B;A;A;1;4
29,8;29,5;28,9;UNIVERSIDADE ESTÁCIO DE SÁ;163;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;1.0;Não Informado;A;B;A;1;1
27,4;44,9;21,5;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;1126;Nutrição;Nutrição;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
52,4;62,6;49;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;1126;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
43,6;17,7;52,2;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;21;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;A;B;A;1;3
37,8;18,4;44,2;UNIVERSIDADE LUTERANA DO BRASIL;449;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;De 3 a 4,5 s.m.;D;D;B;1;3
29,8;29,5;28,9;UNIVERSIDADE LUTERANA DO BRASIL;449;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Não Informado;A;B;A;1;2
39,4;39,6;39,3;UNIVERSIDADE METODISTA DE SÃO PAULO;167;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE DE ARARAQUARA;124;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;B;C;A;1;4
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE SANTOS;227;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE DO VALE DO ITAJAÍ;83;Medicina;Medicina;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;482;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Não Informado;A;B;A;1;4
38,1;46,3;35,3;UNIVERSIDADE REGIONAL DE BLUMENAU;76;Odontologia;Odontologia;Saúde e bem-estar;Pública Municipal;SC;Sul;1.0;De 3 a 4,5 s.m.;D;D;B;1;3
29,8;29,5;28,9;UNIVERSIDADE DO SUL DE SANTA CATARINA;494;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE SÃO JUDAS TADEU;203;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE ANHEMBI MORUMBI;466;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE PAULISTA;322;Farmácia;Farmácia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE CEUMA;823;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MA;Nordeste;1.0;Até 1,5 s.m.;A;A;A;1;3
29,8;29,5;28,9;Universidade Pitágoras Unopar Anhanguera;298;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE DE TAUBATÉ;665;Fisioterapia;Fisioterapia;Saúde e bem-estar;Especial;SP;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;Centro Universitário Multivix Vitória;1244;Farmácia;Farmácia;Saúde e bem-estar;Privada com fins lucrativos;ES;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;FACULDADE BEZERRA DE ARAÚJO;1263;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;3.0;Não Informado;A;B;A;1;2
29,8;29,5;28,9;Centro Universitário de Adamantina;1292;Enfermagem;Enfermagem;Saúde e bem-estar;Especial;SP;Sudeste;2.0;Até 1,5 s.m.;A;A;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;138;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;3
47,5;46,5;47,8;FACULDADES INTEGRADAS DE FERNANDÓPOLIS;1299;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;3.0;Até 1,5 s.m.;B;B;A;1;4
19,7;11,1;22,5;FACULDADES INTEGRADAS DE FERNANDÓPOLIS;1299;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;3.0;Até 1,5 s.m.;B;B;A;1;4
39,4;47,6;36,7;FACULDADES INTEGRADAS DE FERNANDÓPOLIS;1299;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;3.0;Até 1,5 s.m.;A;A;A;1;4
38,9;19,9;45,2;CENTRO UNIVERSITÁRIO DE RIO PRETO;146;Odontologia;Odontologia;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE CATÓLICA DE BRASÍLIA;403;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;DF;Centro-Oeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE NILTON LINS;669;Nutrição;Nutrição;Saúde e bem-estar;Privada sem fins lucrativos;AM;Norte;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Centro Universitário Santa Terezinha;1115;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MA;Nordeste;2.0;Até 1,5 s.m.;A;A;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;597;Biomedicina;Biomedicina;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;142;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;A;A;A;1;3
33,8;48,9;28,8;CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE;794;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MT;Centro-Oeste;2.0;Até 1,5 s.m.;A;B;A;1;4
33,6;27,4;35,6;Centro Universitário UninCor;27;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
39,4;56,6;33,6;UNIVERSIDADE DA REGIÃO DE JOINVILLE;81;Medicina;Medicina;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DE UBERABA;143;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Não Informado;A;B;A;1;2
29,4;40;25,8;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;423;Farmácia;Farmácia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE DE SANTA CRUZ DO SUL;295;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;374;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE ALFENAS;595;Nutrição;Nutrição;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;515;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;515;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;RJ;Sudeste;2.0;Não Informado;A;B;A;1;1
38,6;36,6;39,3;UNIVERSIDADE REGIONAL DE BLUMENAU;76;Farmácia;Farmácia;Saúde e bem-estar;Pública Municipal;SC;Sul;1.0;De 1,5 a 3 s.m.;B;B;A;1;1
1,9;6;0,5;UNIVERSIDADE DO SUL DE SANTA CATARINA;494;Medicina;Medicina;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;A;A;A;1;3
17,6;14,4;18,7;UNIVERSIDADE DO SUL DE SANTA CATARINA;494;Odontologia;Odontologia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;FACULDADES INTEGRADAS DE JAHU;1355;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;3.0;Não Informado;A;B;A;1;4
40,7;26,7;45,3;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;688;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE RIO PRETO;146;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
45;62,9;39;UNIVERSIDADE FEDERAL DE PERNAMBUCO;580;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Pública Federal;PE;Nordeste;1.0;Até 1,5 s.m.;B;B;A;1;3
34,3;13,7;41,1;UNIVERSIDADE POSITIVO;1042;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Até 1,5 s.m.;B;A;A;1;1
27,8;28,9;27,4;UNIVERSIDADE POSITIVO;1042;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;De 1,5 a 3 s.m.;B;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE DE UBERABA;143;Medicina;Medicina;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
31,1;34,3;30;UNIVERSIDADE CESUMAR;1196;Odontologia;Odontologia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Até 1,5 s.m.;A;B;A;1;1
36,7;41,3;35,1;UNIVERSIDADE ESTADUAL DO PIAUÍ;756;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;PI;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE NILTON LINS;669;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;AM;Norte;1.0;Não Informado;A;B;A;1;3
35,3;26,7;38,1;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;1365;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;A;A;A;1;4
29,9;23,1;32,2;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;222;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;222;Farmácia;Farmácia;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;222;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
31;29,9;31,3;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;222;Nutrição;Nutrição;Saúde e bem-estar;Não Informado;SP;Sudeste;2.0;De 1,5 a 3 s.m.;B;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DA BAHIA;578;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Pública Federal;BA;Nordeste;1.0;Até 1,5 s.m.;B;B;A;1;2
29,8;29,5;28,9;FACULDADE ANHANGUERA DE BRASÍLIA;1173;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;DF;Centro-Oeste;3.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;FACULDADE ANHANGUERA DE BRASÍLIA;1173;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;DF;Centro-Oeste;3.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;Universidade Evangélica de Goiás;384;Enfermagem;Enfermagem;Saúde e bem-estar;Privada sem fins lucrativos;GO;Centro-Oeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE NILTON LINS;669;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;AM;Norte;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;Centro Universitário FAESA;1379;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;ES;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE CESUMAR;1196;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE CESUMAR;1196;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO FIEO;244;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;B;C;A;1;4
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE ALAGOAS;577;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;AL;Nordeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;527;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;GO;Centro-Oeste;1.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;17;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Federal;MG;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE VILA VELHA;664;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;ES;Sudeste;1.0;Até 1,5 s.m.;B;C;A;1;1
38,4;79,2;24,8;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;138;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;495;Nutrição;Nutrição;Saúde e bem-estar;Pública Municipal;SP;Sudeste;3.0;Não Informado;A;B;A;1;4
18,5;28,9;15;CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL;1356;Odontologia;Odontologia;Saúde e bem-estar;Especial;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;3
23,6;20,6;24,6;CENTRO UNIVERSITÁRIO LUSÍADA;226;Biomedicina;Biomedicina;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;1
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO INGÁ;1430;Odontologia;Odontologia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;2.0;Até 1,5 s.m.;A;A;A;1;4
33,6;25,5;36,3;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;480;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE CESUMAR;1196;Farmácia;Farmácia;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;Não Informado;A;B;A;1;4
33,2;38,8;31,3;UNIVERSIDADE CESUMAR;1196;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;PR;Sul;1.0;De 1,5 a 3 s.m.;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE DO ESTADO DA BAHIA;40;Fonoaudiologia;Fonoaudiologia;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Até 1,5 s.m.;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE DO ESTADO DA BAHIA;40;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Não Informado;A;B;A;1;3
33,5;21,6;37,5;UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO;30;Odontologia;Odontologia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS;308;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS;308;Nutrição;Nutrição;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;349;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;MG;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;349;Nutrição;Nutrição;Saúde e bem-estar;Privada com fins lucrativos;MG;Sudeste;2.0;Não Informado;A;B;A;1;2
23,7;34,4;20,1;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;1036;Enfermagem;Enfermagem;Saúde e bem-estar;Pública Estadual;MG;Sudeste;1.0;Até 1,5 s.m.;A;A;A;1;4
27,2;36,1;24,2;UNIVERSIDADE DE ITAÚNA;1128;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;1.0;Até 1,5 s.m.;B;B;A;1;4
35,8;32;37;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;673;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MS;Centro-Oeste;2.0;De 1,5 a 3 s.m.;B;A;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE BARRA MANSA;514;Nutrição;Nutrição;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;2.0;Não Informado;A;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE BARRA MANSA;514;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DE BARRA MANSA;514;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;RJ;Sudeste;2.0;Não Informado;A;B;A;1;4
27,2;36,1;24,2;UNIVERSIDADE DE PASSO FUNDO;20;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;423;Enfermagem;Enfermagem;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;A;B;A;1;4
44,6;40;46,1;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;532;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;RS;Sul;1.0;Até 1,5 s.m.;B;B;A;1;3
23;14,4;25,8;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;3151;Farmácia;Farmácia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;A;A;1;3
45,8;41,1;47,3;UNIVERSIDADE DO OESTE DE SANTA CATARINA;82;Fisioterapia;Fisioterapia;Saúde e bem-estar;Não Informado;SC;Sul;1.0;Até 1,5 s.m.;B;B;A;1;4
29,8;29,5;28,9;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO;1043;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;666;Farmácia;Farmácia;Saúde e bem-estar;Pública Estadual;BA;Nordeste;1.0;Até 1,5 s.m.;B;B;A;1;3
28,1;47,4;21,7;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;1446;Farmácia;Farmácia;Saúde e bem-estar;Privada com fins lucrativos;DF;Centro-Oeste;2.0;Até 1,5 s.m.;A;A;A;1;1
14,6;19,5;13;CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO;1450;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada sem fins lucrativos;MG;Sudeste;2.0;Até 1,5 s.m.;B;B;A;1;4
41;35,8;42,7;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;56;Nutrição;Nutrição;Saúde e bem-estar;Pública Estadual;SP;Sudeste;1.0;Até 1,5 s.m.;B;A;A;1;4
29,8;29,5;28,9;Centro Universitário Estácio do Ceará;1107;Fisioterapia;Fisioterapia;Saúde e bem-estar;Privada com fins lucrativos;CE;Nordeste;2.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE NOVE DE JULHO;316;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE ANHEMBI MORUMBI;466;Enfermagem;Enfermagem;Saúde e bem-estar;Privada com fins lucrativos;SP;Sudeste;1.0;Não Informado;A;B;A;1;1
31,1;49,5;25;CENTRO UNIVERSITÁRIO SÃO CAMILO;737;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;De 1,5 a 3 s.m.;A;B;A;1;1
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;MT;Centro-Oeste;1.0;Até 1,5 s.m.;B;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;573;Farmácia;Farmácia;Saúde e bem-estar;Pública Federal;ES;Sudeste;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;1126;Fisioterapia;Fisioterapia;Saúde e bem-estar;Pública Estadual;PR;Sul;1.0;Não Informado;A;B;A;1;3
29,8;29,5;28,9;FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;4504;Medicina;Medicina;Saúde e bem-estar;Pública Federal;MS;Centro-Oeste;1.0;Até 1,5 s.m.;A;B;A;1;3
22,2;32,5;18,7;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;1230;Farmácia;Farmácia;Saúde e bem-estar;Privada sem fins lucrativos;SP;Sudeste;2.0;De 1,5 a 3 s.m.;A;A;A;1;4
